FM,FM_err,d14C,d14C_err,d13C,d13C_err
0.9451,0.0018,-63.1,1.8,-21.83104334,0.093904984
0.95395,0.002,-54.3,2,-24.93879347,0.010407598
0.9434,0.002,-64.75,2,-21.54515688,0.023091757
0.9154,0.0019,-92.5,1.9,-21.81951508,0.018907561
0.8625,0.0018,-145,1.8,-19.32516199,0.007907809
