date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,69,95.3951820986031,226,226,95.3951820986031,227.785791927623
1:00:04 AM,70,94.7860911895122,246,246,94.7860911895122,245.032235851635
1:00:07 AM,72,97.9527578561789,246,246,97.9527578561789,227.419877122438
1:00:10 AM,73,101.416091189512,229,229,101.416091189512,202.122599691884
1:00:13 AM,74,104.571091189512,182,182,104.571091189512,172.205607032464
1:00:16 AM,75,107.994168112589,148,148,107.994168112589,142.449661755505
1:00:19 AM,76,111.557326007326,114,114,111.557326007326,116.765868324342
1:00:22 AM,77,115.419230769231,83,83,115.419230769231,95.5866986103409
1:00:25 AM,78,118.4,53,53,118.4,78.474966336873
1:00:28 AM,79,112.85,40,40,112.85,64.9934852273105
1:00:31 AM,80,105.55,45,45,105.55,54.7050690050257
1:00:34 AM,82,97.2,52,52,97.2,42.1889898021701
1:00:37 AM,84,88.8,59,59,88.8,38.5807569472468
1:00:40 AM,87,81.2,65,65,81.2,45.2425956101515
1:00:43 AM,92,75.9,71,71,75.9,70.9129271135422
1:00:46 AM,95,72.25,75,75,72.25,83.4193117340394
1:00:49 AM,96,70.25,79,79,70.25,85.5891633469539
1:00:52 AM,98,69.8,81,81,69.8,86.9286799010168
1:00:55 AM,101,70.85,82,82,70.85,83.8105275356395
1:00:58 AM,103,72.6,81,81,72.6,80.1591718700297
1:01:01 AM,105,74.1,80,80,74.1,76.7263041672981
1:01:04 AM,106,75.2,79,79,75.2,75.4596158565129
1:01:07 AM,108,75.95,78,78,75.95,74.0074749053193
1:01:10 AM,109,76.45,77,77,76.45,73.8060992174312
1:01:13 AM,111,76.675,76,76,76.675,74.4129297983734
1:01:16 AM,112,76.825,75,75,76.825,75.205213019724
1:01:19 AM,113,76.875,74,74,76.875,76.2755619169095
1:01:22 AM,114,76.875,74,74,76.875,77.4298604006981
1:01:25 AM,115,76.925,74,74,76.925,78.4367614687599
1:01:28 AM,117,77.325,75,75,77.325,79.0829833483828
1:01:31 AM,119,78.25,75,75,78.25,76.3634515371377
1:01:34 AM,120,79.55,74,74,79.55,73.3948084877559
1:01:37 AM,121,81.275,74,74,81.275,70.2805739855144
1:01:40 AM,122,83.475,75,75,83.475,68.179289004931
1:01:43 AM,123,86.075,75.5,75.5,86.075,68.249494520523
1:01:46 AM,124,90.045,78,78,90.045,71.649731506808
1:01:49 AM,125,96.345,80,80,96.345,78.9589114299476
1:01:52 AM,126,104.445,81,81,104.445,88.4374277226797
1:01:55 AM,127,115.87,83,83,115.87,97.7660443093863
1:01:58 AM,128,130.895,89,89,130.895,104.62552511445
1:02:01 AM,129,151.995,98.5,98.5,151.995,106.696634062251
1:02:04 AM,130,176.97,105,105,176.97,103.075228264816
1:02:07 AM,131,207.338965517241,112.5,112.5,207.338965517241,98.5175375847356
1:02:10 AM,132,239.622298850575,121,121,239.622298850575,99.1948850722463
1:02:13 AM,133,273.197298850575,128,128,273.197298850575,111.278593777583
1:02:16 AM,134,306.675870279146,154.4,153,306.675870279146,140.93998675098
1:02:19 AM,135,340.525870279146,200,200,340.525870279146,192.188895420674
1:02:22 AM,136,374.575870279146,236,236,374.575870279146,260.389184726909
1:02:25 AM,137,408.90920361248,302.5,302,408.90920361248,338.743227987924
1:02:28 AM,138,443.634203612479,375.5,375.5,443.634203612479,420.453398521966
