date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
,381,16391.12781,16185.5,16185.5,16391.12781,16134.19125
,382,16208.52204,15363.85714,15360,16208.52204,15904.25569
,383,16198.54287,15693.5,15693.5,16198.54287,15703.91005
,387,16157.34787,15209.33333,14862,16157.34787,15227.65881
,388,16079.62375,15412.66667,15327,16079.62375,15196.32259
,389,15966.1192,15361.46154,15160,15966.1192,15198.1604
,390,15903.3692,15397.1,15467.5,15903.3692,15229.44831
,391,15807.31254,14972.08333,15000.5,15807.31254,15286.4624
,395,15721.21643,15005,15005,15721.21643,15697.3021
,396,15621.27155,16779.75,17332,15621.27155,15826.1519
,397,15549.57989,16349.46154,16687,15549.57989,15952.7663
,398,15499.31203,14997.5,14857,15499.31203,16067.80333
,401,15423.72036,17155.75,17249,15423.72036,16250.03039
,402,15399.9287,16806.1,16984.5,15399.9287,16225.33818
,403,15366.47036,15411.15385,15357,15366.47036,16142.35872
,404,15318.50062,14543,14516,15318.50062,15996.66369
,407,15253.60673,16799,16799,15253.60673,15355.20255
,408,15166.85256,15644.66667,15373,15166.85256,15140.38988
,409,15123.35256,15159.77778,15168,15123.35256,14958.6476
,410,14893.5984,14178.76923,13996,14893.5984,14830.11564
,411,14679.31103,14751.66667,15084,14679.31103,14766.60517
,412,14514.34513,14358.5,14277,14514.34513,14746.6124
,413,14265.83035,14181.66667,14138,14265.83035,14740.3048
,415,14036.17535,14733.5,14733.5,14036.17535,14649.41496
,416,13846.04266,14743.5,14743.5,13846.04266,14505.16766
,417,13694.73016,14402.06667,14532,13694.73016,14265.35068
,418,13419.55516,14099.22222,14082,13419.55516,13950.50785
,419,13199.81349,13237,13270.5,13199.81349,13591.2583
,420,13036.51961,14135,14135,13036.51961,13218.22115
,422,12877.48114,12184.66667,11941,12877.48114,12553.26056
,423,12650.59781,12063.71429,11844,12650.59781,12314.24827
,424,12460.39424,11698.18182,11589,12460.39424,12133.96225
,425,12273.80535,12185.45455,12255,12273.80535,11993.05901
,426,12056.44285,12213,12213,12056.44285,11872.19507
,427,11857.02785,11608.5,11608.5,11857.02785,11752.02693
,428,11654.27452,11516.75,11508.5,11654.27452,11617.58847
,429,11486.11341,11295.5,11319.5,11486.11341,11471.42311
,430,11314.71341,11249.83333,10993,11314.71341,11320.45163
,431,11094.81341,11893.9,12019.5,11094.81341,11171.59484
,433,10980.16189,10998,10998,10980.16189,10907.90847
,435,10873.89618,10214,10214,10873.89618,10718.82655
,436,10792.34591,10554.42857,10725,10792.34591,10644.20855
,437,10681.09818,10449.88889,10401,10681.09818,10575.19647
,438,10570.29818,10386.25,10399.5,10570.29818,10506.03325
,439,10476.14818,10755.2,10870,10476.14818,10430.96185
,440,10415.26068,10347,10347,10415.26068,10344.22521
,441,10354.44997,10736,10736,10354.44997,10242.87571
,442,10299.1333,9809,9809,10299.1333,10135.20336
,444,10207.7183,9737,9737,10207.7183,9945.287785
,445,10136.5183,9891.636364,9893,10136.5183,9885.243422
,446,10097.3683,9938.4,9924.5,10097.3683,9863.27391
,447,10045.45521,10067.17647,10096,10045.45521,9885.928502
,448,9967.160761,9960.5,9960.5,9967.160761,9941.555769
,450,9898.098261,9997,9997,9898.098261,10086.92192
,452,9817.513261,9725.5,9725.5,9817.513261,10169.75954
,453,9754.145079,10299,10299,9754.145079,10147.22616
,454,9679.820079,10079.28571,9882,9679.820079,10066.29683
,455,9626.670079,10143.5,10215,9626.670079,9939.974976
,456,9573.038829,10065.6,10178,9573.038829,9787.10499
,457,9553.007011,9574,9574,9553.007011,9626.531278
,458,9482.607011,9431,9515,9482.607011,9477.098244
,459,9421.448187,9516.166667,9633,9421.448187,9353.711919
,460,9324.723187,8884,8884,9324.723187,9255.524846
,461,9224.098187,9005,9005,9224.098187,9177.751199
,462,9147.298187,9143.5,8982,9147.298187,9115.605149
,463,9031.569616,9079.636364,9019,9031.569616,9064.300868
,465,8924.418966,9249.5,9344.5,8924.418966,8976.213098
,466,8793.743966,8746,8742,8793.743966,8931.423795
,467,8660.913966,8664.375,8679,8660.913966,8880.895238
,468,8550.063966,9491,9491,8550.063966,8820.695694
,469,8425.3173,8530.4,8310,8425.3173,8746.893433
,470,8307.428966,8844,8855,8307.428966,8655.556721
,472,8213.808966,8026,8026,8213.808966,8413.127681
,473,8108.816109,7984.5,7984.5,8108.816109,8265.962051
,474,7993.066109,8189.5,8189.5,7993.066109,8104.828034
,475,7880.409291,7984.428571,8095,7880.409291,7932.224895
,476,7766.834291,7936.272727,7990,7766.834291,7750.651899
,477,7686.054291,7530,7530,7686.054291,7564.081274
,478,7614.535541,7409,7409,7614.535541,7382.377093
,479,7497.698041,7357,7389.5,7497.698041,7216.876394
,480,7411.732587,6936.066667,6866,7411.732587,7078.916212
,482,7268.682587,7158.4,7048,7268.682587,6930.965548
,483,7174.062587,7011.6,6763,7174.062587,6937.826407
,484,7072.931337,6905.142857,6872,7072.931337,6982.63954
,485,6966.756337,6828.5,6828.5,6966.756337,7041.805593
,486,6840.334908,6826.5,6826.5,6840.334908,7091.725215
,487,6710.821272,6978,6823,6710.821272,7108.799052
,488,6623.746272,7130.4,7179,6623.746272,7075.095913
,490,6552.433772,7234,7323,6552.433772,6879.992686
,491,6464.186403,7154.25,7183,6464.186403,6739.411831
,492,6367.18307,6811.090909,6987,6367.18307,6584.024304
,493,6274.446403,5983,5983,6274.446403,6424.239721
,494,6197.151019,6133.6,5947,6197.151019,6269.005212
,495,6079.860542,5961.875,5898,6079.860542,6121.417955
,496,5960.735542,6066,6081,5960.735542,5983.112645
,498,5841.960542,5456,5456,5841.960542,5740.886636
,499,5716.060542,5346,5346,5716.060542,5640.235322
,500,5590.065542,5788.5,5750,5590.065542,5554.064839
,501,5450.533724,5982.75,5986,5450.533724,5477.310439
,502,5311.887891,5592.052632,5441,5311.887891,5403.567489
,503,5179.900012,4996,4996,5179.900012,5326.431356
,504,5108.768762,5303.666667,5358,5108.768762,5239.497405
,505,4999.228762,5465.692308,5552,4999.228762,5136.361002
,507,4890.440012,4559.333333,4482,4890.440012,4877.152556
,508,4773.052512,4446,4446,4773.052512,4737.545341
,509,4673.352512,4451,4451,4673.352512,4604.020204
,510,4573.902512,4460,4544.5,4573.902512,4486.1402
,511,4451.515012,4610.5,4646.5,4451.515012,4393.468382
,512,4311.669179,4443.363636,4492,4311.669179,4331.707047
,513,4196.666547,4381.333333,4375,4196.666547,4291.115458
,514,4085.146547,4171.333333,4209,4085.146547,4258.092121
,515,3974.968769,4560.375,4569.5,3974.968769,4219.035539
,517,3851.167487,3942.8,3986,3851.167487,4068.416665
,518,3753.810821,3786.1,3833,3753.810821,3934.667838
,519,3666.185821,3718.25,3792,3666.185821,3770.578526
,520,3577.642071,3462,3462,3577.642071,3592.645974
,521,3485.967071,3357,3357,3485.967071,3417.367426
,522,3390.332071,3340.75,3334.5,3390.332071,3261.240126
,523,3302.353175,3185.833333,3237,3302.353175,3136.92091
,524,3211.111508,3292,3361,3211.111508,3041.704985
,525,3114.394841,2765.6,2810,3114.394841,2969.047148
,526,3001.942758,3100.111111,3085,3001.942758,2912.402198
,527,2918.584008,2989.666667,3173,2918.584008,2865.224931
,528,2841.434563,2612.2,2586,2841.434563,2821.760606
,529,2752.772063,2693.5,2688,2752.772063,2779.416322
,530,2673.622063,2680.125,2699.5,2673.622063,2736.389636
,531,2602.186349,2626.5,2626.5,2602.186349,2690.878107
,532,2537.95996,2697.8,2686,2537.95996,2641.079292
,533,2460.318294,2683.785714,2675.5,2460.318294,2585.190749
,535,2381.168294,2556.5,2556.5,2381.168294,2452.3825
,536,2328.925794,2237,2237,2328.925794,2377.973615
,537,2264.036905,2311.333333,2330.5,2264.036905,2300.272752
,538,2200.766071,2275.625,2276,2200.766071,2220.813309
,539,2150.268571,2243.111111,2250,2150.268571,2141.128683
,540,2093.685238,1945,1945,2093.685238,2062.799683
,541,2033.362321,1879,1879,2033.362321,1987.596772
,542,1975.515099,1928.285714,2018,1975.515099,1917.337824
,543,1913.600099,2056.222222,2138,1913.600099,1853.840713
,544,1852.710813,1633,1633,1852.710813,1798.923313
,545,1798.235813,1709,1709,1798.235813,1753.630173
,546,1760.135813,1720.75,1743.5,1760.135813,1715.912541
,547,1720.749147,1802.333333,1802,1720.749147,1682.948337
,548,1679.834563,1724.25,1803,1679.834563,1651.915484
,549,1632.579008,1602.25,1557.5,1632.579008,1619.991903
,550,1600.345675,1561.833333,1563.5,1600.345675,1585.255656
,551,1575.133175,1473.666667,1465,1575.133175,1549.385363
,552,1546.993889,1469.555556,1451,1546.993889,1514.959786
,553,1504.995278,1459.5,1441,1504.995278,1484.557685
,554,1482.873849,1466,1466,1482.873849,1460.75782
,555,1457.723849,1467,1467,1457.723849,1445.082449
,556,1430.961349,1475,1474.5,1430.961349,1434.827818
,557,1401.678016,1523.6,1525,1401.678016,1426.233668
,558,1375.035516,1457.333333,1540,1375.035516,1415.539742
,559,1349.393016,1298,1305.5,1349.393016,1398.98578
,560,1323.244206,1300.333333,1324,1323.244206,1373.91504
,561,1297.675159,1374.75,1352,1297.675159,1342.084831
,562,1270.741825,1365.5,1396,1270.741825,1306.355978
,563,1241.804325,1216.25,1210,1241.804325,1269.589304
,564,1209.504325,1190.571429,1178,1209.504325,1234.645633
,565,1172.654325,1206,1214,1172.654325,1204.385791
,566,1135.854325,1185.5,1176.5,1135.854325,1180.373364
,567,1097.886825,1216.666667,1226.5,1097.886825,1158.983005
,568,1066.853492,1191.4,1286,1066.853492,1135.292129
,569,1038.864603,1089.4,1053,1038.864603,1104.378151
,570,1011.864603,1038.857143,1063,1011.864603,1061.318486
,571,980.2771032,962.2857143,998,980.2771032,1003.380764
,572,948.5878175,930.8888889,919,948.5878175,936.5934759
,573,924.1419841,880.75,882,924.1419841,869.1753235
,574,900.5884127,820,857,900.5884127,809.345011
,575,875.2884127,730,730,875.2884127,765.321242
,577,850.8800794,739,739,850.8800794,738.3128366
,578,823.946746,764.25,762,823.946746,745.2895535
,579,800.289246,836.6666667,844,800.289246,757.6231763
,580,781.5978175,738.2222222,734,781.5978175,769.0909245
,581,764.5299603,760.3333333,761,764.5299603,773.4700178
,582,750.7031746,743,743,750.7031746,766.3465619
,583,734.2087302,731.7142857,735,734.2087302,750.542208
,584,720.5337302,727.3333333,732,720.5337302,730.6874934
,585,708.5037302,719.5,717,708.5037302,711.4129553
,586,701.910873,700,700,701.910873,697.349131
,587,693.1724115,697.3333333,689,693.1724115,691.7416254
,588,682.0299115,678,693.5,682.0299115,692.2963131
,589,663.6765781,718.25,717.5,663.6765781,695.3341363
,590,650.815467,715.5714286,737,650.815467,697.1760374
,591,637.2363004,697.5,694.5,637.2363004,694.1429583
,592,623.5163004,685.75,708,623.5163004,683.4832141
,594,610.5430861,601,601,610.5430861,644.0423262
,595,597.7907051,607.25,608.5,597.7907051,619.0315394
,596,585.2907051,579.4,579,585.2907051,593.0074287
,597,573.9740385,598.1428571,623,573.9740385,567.8551726
,598,560.1573718,564.2307692,563,560.1573718,545.4599496
,600,547.4373718,541.4,537,547.4373718,512.9149291
,601,531.9582051,469.6,469,531.9582051,501.6317055
,602,517.6074115,481,472,517.6074115,492.6218567
,603,504.5199115,488.75,489.5,504.5199115,485.0957703
,604,490.7532448,468.6,469,490.7532448,478.2638341
,605,481.1032448,472.25,471.5,481.1032448,471.4662388
,606,469.8907448,472.2857143,473,469.8907448,464.5623871
,607,458.9207448,469.5,469.5,458.9207448,457.5414848
,608,447.776102,473.6666667,476,447.776102,450.3927378
,609,438.1145635,421,421,438.1145635,443.1053516
,610,429.7945635,423.6,422,429.7945635,435.6832022
,611,423.6867857,408.6666667,405.5,423.6867857,428.1888452
,612,417.9667857,428.5555556,438,417.9667857,420.6995063
,613,409.4292857,435.75,435.5,409.4292857,413.2924114
,614,402.0492857,410.4166667,411,402.0492857,406.044786
,615,394.7367857,408,408,394.7367857,398.9896006
,616,386.6625,383,384,386.6625,391.9828038
,617,378.6575,360,360,378.6575,384.8360891
,618,370.0186111,375.25,374,370.0186111,377.3611498
,619,363.8186111,371,371,363.8186111,369.3696793
,620,357.5786111,375,375,357.5786111,360.7629615
,621,351.8202778,347.4444444,344,351.8202778,351.8006424
,622,344.9625,366.6,372,344.9625,342.8319588
,623,337.785,318,318,337.785,334.2061472
,624,331.2991667,321,321,331.2991667,326.2724445
,625,323.8991667,326,330,323.8991667,319.3800872
,626,319.2491667,310.8,317,319.2491667,313.7559934
,627,314.2658333,309.4,317,314.2658333,309.1378073
,628,308.2578788,300.8888889,300,308.2578788,305.1408544
,629,302.2678788,297,297,302.2678788,301.3804601
,630,296.0178788,298.8,303,296.0178788,297.47195
